N,iters,time_s,mnodes_per_s
1000,20,0.05584526062011719,358.1324498787527
2000,20,0.2871286869049072,278.62071485213465
4000,20,1.8568575382232666,172.33416856857627
8000,20,7.660399675369263,167.09310926891013
