N,TPB,iters,global_time_s,shared_time_s,global_mnodes_per_s,shared_mnodes_per_s,speedup_global_over_shared
1000,16,100,0.0009093120098114014,0.0011571199893951416,109973.25331790218,86421.4609690329,0.7858407236458889
2000,16,100,0.003998719930648804,0.0049203200340270994,100032.01197816792,81295.52493206724,0.8126950895460351
4000,16,100,0.015079423904418946,0.018860031127929687,106104.84923970659,84835.49094627799,0.7995439563240133
8000,16,100,0.05939814376831055,0.06971084594726562,107747.4748194818,91807.80857029662,0.8520645957050018
